0.007;0.012;0.038
0.001;0.002;0.007
0.005;0.008;0.019
0.007;0.008;0.021
0.004;0.008;0.029
0.006;0.013;0.038
0.007;0.013;0.038
0.002;0.005;0.018
0.005;0.011;0.042
0.009;0.027;0.099
0.006;0.008;0.019
0.01;0.021;0.077
0.009;0.014;0.038
0.008;0.012;0.031
0.012;0.022;0.058
0.002;0.003;0.007
0.002;0.003;0.008
0.007;0.012;0.035
0.006;0.014;0.034
0.002;0.004;0.013
0.003;0.007;0.024
0.003;0.004;0.013
0.004;0.007;0.024
0.003;0.006;0.018
0.003;0.009;0.031
0.002;0.003;0.008
0.004;0.006;0.014
0.02;0.034;0.104
0.002;0.004;0.013
0.003;0.005;0.013
0.009;0.015;0.048
0.005;0.009;0.024
0.004;0.01;0.035
0.008;0.017;0.063
0.006;0.011;0.03
0.011;0.016;0.049
0.003;0.005;0.014
0.004;0.007;0.023
0.008;0.013;0.038
0.004;0.006;0.021
0.004;0.014;0.051
0.003;0.009;0.032
0.008;0.012;0.031
0.002;0.006;0.021
0.004;0.007;0.025
0.007;0.015;0.052
0.002;0.004;0.012
0.008;0.015;0.039
0.004;0.009;0.031
0.002;0.005;0.016
0.006;0.009;0.03
0.001;0.004;0.01
0.005;0.009;0.024
0.008;0.015;0.042
0.005;0.008;0.021
0.007;0.015;0.047
0.005;0.008;0.022
0.011;0.017;0.052
0.007;0.016;0.06
0;0;0.001
0.007;0.013;0.048
0.01;0.019;0.067
0.009;0.018;0.06
0.002;0.003;0.008
0;0;0.001
0.005;0.01;0.029
0.017;0.032;0.094
0.006;0.013;0.044
0.004;0.011;0.035
0.008;0.013;0.044
0.001;0.002;0.005
0.015;0.02;0.052
0.008;0.013;0.035
0.016;0.026;0.071
0.007;0.014;0.047
0.006;0.012;0.039
0.011;0.033;0.115
0.006;0.016;0.057
0.003;0.005;0.016
0.003;0.006;0.019
0.007;0.017;0.059
0.003;0.006;0.021
0.009;0.023;0.084
0.005;0.011;0.038
0.014;0.024;0.076
0.008;0.009;0.023
0.006;0.009;0.03
0.011;0.029;0.111
0.002;0.006;0.017
0.016;0.025;0.08
0.003;0.007;0.02
0.002;0.003;0.008
0.011;0.021;0.067
0.014;0.021;0.06
0.011;0.019;0.06
0.007;0.013;0.042
0.008;0.01;0.029
0.005;0.014;0.05
0.012;0.019;0.055
0.002;0.004;0.012
0.017;0.02;0.064
0.011;0.035;0.131
0.004;0.014;0.056
0.011;0.016;0.047
0.004;0.005;0.019
0.007;0.013;0.04
0.004;0.009;0.027
0.009;0.021;0.074
0.003;0.004;0.011
0.002;0.003;0.011
0.011;0.016;0.052
0.005;0.011;0.043
0.003;0.005;0.014
0.005;0.008;0.021
0.003;0.006;0.02
0;0;0.001
0.007;0.014;0.045
0.004;0.008;0.027
0.003;0.005;0.016
0.014;0.037;0.131
0.011;0.034;0.123
0.003;0.009;0.034
0.003;0.006;0.019
0.01;0.022;0.074
0.015;0.025;0.079
0.003;0.004;0.014
0.004;0.009;0.031
0.001;0.002;0.005
0.004;0.006;0.018
0;0.001;0.003
0.001;0.003;0.011
0.001;0.002;0.006
0.01;0.016;0.047
0.006;0.013;0.042
0.002;0.004;0.015
0.001;0.002;0.007
0.005;0.011;0.04
0.002;0.004;0.013
0.006;0.016;0.059
0;0.001;0.003
0.001;0.003;0.012
0.002;0.005;0.019
0.002;0.006;0.02
0.008;0.018;0.062
0.007;0.014;0.041
0.016;0.056;0.201
0.002;0.004;0.016
0.002;0.005;0.017
0.004;0.01;0.036
0.004;0.014;0.054
0.009;0.02;0.054
0.007;0.012;0.039
0.002;0.004;0.016
0.004;0.015;0.058
0.007;0.015;0.054
0.001;0.003;0.013
0.005;0.013;0.041
0.009;0.019;0.064
0.003;0.009;0.03
0.001;0.003;0.008
0.003;0.007;0.027
0.001;0.004;0.014
0.006;0.012;0.033
0;0.001;0.002
0.009;0.023;0.081
0.006;0.016;0.056
0.002;0.005;0.019
0;0.001;0.003
0;0.001;0.005
0;0;0.001
0.004;0.015;0.054
0.003;0.007;0.024
0.001;0.002;0.005
0.002;0.005;0.016
0.001;0.003;0.01
0.001;0.001;0.003
0;0;0.001
0.011;0.024;0.065
0;0.001;0.003
0.009;0.021;0.073
0.001;0.002;0.007
0.001;0.003;0.007
0.004;0.008;0.027
0;0;0.001
0.009;0.029;0.097
0.001;0.003;0.009
0;0;0.001
0.002;0.005;0.017
0.001;0.002;0.007
0.002;0.004;0.015
0.002;0.004;0.015
0.003;0.007;0.025
0.003;0.007;0.024
0.004;0.009;0.028
0.002;0.006;0.022
0.002;0.004;0.015
0.006;0.011;0.036
0.002;0.006;0.02
0.001;0.002;0.007
0.004;0.007;0.018
0.004;0.012;0.044
0.004;0.009;0.03
0;0.002;0.006
0;0;0.001
0.001;0.004;0.015
0.004;0.009;0.027
0.009;0.03;0.114
0.003;0.01;0.035
0;0.001;0.003
0;0.001;0.004
0.001;0.003;0.012
0;0.001;0.003
0.003;0.009;0.034
0;0.001;0.002
0.004;0.009;0.03
0.002;0.005;0.018
0;0.001;0.005
0.001;0.003;0.01
0;0.001;0.003
0;0;0
0;0;0.001
0.002;0.006;0.022
0;0.001;0.005
0.003;0.006;0.02
0;0.001;0.002
0.001;0.004;0.014
0.001;0.003;0.011
0.003;0.006;0.017
0.001;0.002;0.008
0.002;0.009;0.034
0;0.001;0.003
0.001;0.002;0.009
0.001;0.003;0.012
0.001;0.003;0.013
0.001;0.002;0.008
0.001;0.002;0.009
0.001;0.002;0.007
0.002;0.005;0.02
0;0.001;0.003
0.005;0.013;0.05
0.004;0.008;0.028
0.003;0.006;0.019
0.001;0.002;0.005
0;0;0.001
0.005;0.012;0.038
0.001;0.004;0.015
0;0.001;0.002
0.005;0.015;0.054
0.001;0.002;0.007
0.005;0.012;0.039
0.001;0.004;0.014
0;0;0
0.004;0.016;0.061
0.001;0.002;0.005
0.006;0.021;0.078
0.001;0.002;0.007
0.001;0.003;0.011
0.01;0.022;0.082
0.001;0.001;0.005
0.002;0.005;0.015
0;0.001;0.003
0.002;0.004;0.011
0.002;0.006;0.02
0.004;0.016;0.061
0.001;0.003;0.01
0.001;0.005;0.018
0;0.002;0.006
0.004;0.017;0.062
0;0;0
0.001;0.003;0.008
0;0.001;0.005
0.003;0.008;0.026
0;0.001;0.003
0.006;0.017;0.064
0.001;0.002;0.007
0.004;0.011;0.04
0.004;0.008;0.029
0.002;0.007;0.027
0.006;0.019;0.071
0.004;0.007;0.021
0.003;0.007;0.022
0.003;0.008;0.027
0.01;0.021;0.074
0.003;0.007;0.022
0.002;0.006;0.019
0.006;0.014;0.054
0.002;0.003;0.008
0.001;0.001;0.004
0.003;0.006;0.023
0.007;0.012;0.042
0.002;0.005;0.017
0.012;0.032;0.117
0.003;0.005;0.015
0.005;0.01;0.036
0.006;0.012;0.033
0.005;0.009;0.03
0.005;0.01;0.029
0.002;0.006;0.021
0.001;0.001;0.005
0.001;0.002;0.009
0.005;0.009;0.027
0.007;0.014;0.042
0.006;0.011;0.032
0.008;0.013;0.034
0.004;0.01;0.03
0.006;0.009;0.025
0.01;0.023;0.084
0.001;0.002;0.008
0.003;0.006;0.021
0.007;0.013;0.042
0.017;0.038;0.121
0.009;0.017;0.059
0.003;0.006;0.023
0.001;0.002;0.005
0.008;0.018;0.052
0.007;0.015;0.052
0.01;0.024;0.084
0.001;0.002;0.006
0.006;0.014;0.05
0.011;0.028;0.101
0.008;0.016;0.049
0.011;0.018;0.051
0.006;0.014;0.057
0.003;0.006;0.021
0.005;0.009;0.029
0.005;0.008;0.025
0.006;0.015;0.046
0.005;0.01;0.035
0.007;0.011;0.034
0.016;0.015;0.041
0.008;0.018;0.056
0.007;0.018;0.058
0.017;0.028;0.092
0.013;0.022;0.066
0.021;0.033;0.124
0.011;0.014;0.035
0.014;0.025;0.087
0.002;0.004;0.01
0.002;0.005;0.017
0.01;0.013;0.04
0.01;0.014;0.046
0.004;0.01;0.037
0.018;0.036;0.13
0.01;0.024;0.091
0.004;0.009;0.031
0.01;0.022;0.064
0.006;0.008;0.024
0.003;0.005;0.019
0.007;0.011;0.037
0.004;0.005;0.018
0.004;0.006;0.019
0.006;0.013;0.041
0.012;0.019;0.057
0.001;0.001;0.005
0.006;0.011;0.037
0.003;0.007;0.027
0.004;0.006;0.023
0.009;0.014;0.039
0.005;0.011;0.04
0.005;0.011;0.037
0.005;0.008;0.023
0.005;0.015;0.052
0.006;0.015;0.06
0.002;0.003;0.01
0.006;0.014;0.052
0.019;0.019;0.038
